city_state,city,state,year,id,holc_polygon,holc_grade,lat,lon,sum_bird_obs
"Birmingham, AL",Birmingham,AL,2013,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,25
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,60
"Birmingham, AL",Birmingham,AL,2008,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,283
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,1
"Birmingham, AL",Birmingham,AL,2007,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,54
"Birmingham, AL",Birmingham,AL,2006,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,127
"Birmingham, AL",Birmingham,AL,2005,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,59
"Birmingham, AL",Birmingham,AL,2002,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,81
"Birmingham, AL",Birmingham,AL,2004,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,1
"Birmingham, AL",Birmingham,AL,2001,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,84
"Birmingham, AL",Birmingham,AL,1999,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,40
"Birmingham, AL",Birmingham,AL,2000,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,114
"Birmingham, AL",Birmingham,AL,2003,AL_Birmingham_B1_B_4,AL_Birmingham_B1_B_4_Aves_all_observations,B,33.4779,-86.78221,7
"Birmingham, AL",Birmingham,AL,2013,AL_Birmingham_B10_B_5,AL_Birmingham_B10_B_5_Aves_all_observations,B,33.530544,-86.75477,1
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_B11_B_6,AL_Birmingham_B11_B_6_Aves_all_observations,B,33.517455,-86.843199,2
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_B11_B_6,AL_Birmingham_B11_B_6_Aves_all_observations,B,33.517455,-86.843199,1
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_B12_B_7,AL_Birmingham_B12_B_7_Aves_all_observations,B,33.491832,-86.898446,3
"Birmingham, AL",Birmingham,AL,2022,AL_Birmingham_B13_B_8,AL_Birmingham_B13_B_8_Aves_all_observations,B,33.486416,-86.816313,3
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B13_B_8,AL_Birmingham_B13_B_8_Aves_all_observations,B,33.486416,-86.816313,6
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_B13_B_8,AL_Birmingham_B13_B_8_Aves_all_observations,B,33.486416,-86.816313,7
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_B13_B_8,AL_Birmingham_B13_B_8_Aves_all_observations,B,33.486416,-86.816313,2
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_B13_B_8,AL_Birmingham_B13_B_8_Aves_all_observations,B,33.486416,-86.816313,6
"Birmingham, AL",Birmingham,AL,2022,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,1
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,451
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,484
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,656
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,667
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,853
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,1138
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,1658
"Birmingham, AL",Birmingham,AL,2014,AL_Birmingham_B14_B_9,AL_Birmingham_B14_B_9_Aves_all_observations,B,33.579947,-86.701287,946
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B16_B_11,AL_Birmingham_B16_B_11_Aves_all_observations,B,33.502303,-86.755637,1
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_B16_B_11,AL_Birmingham_B16_B_11_Aves_all_observations,B,33.502303,-86.755637,4
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_B16_B_11,AL_Birmingham_B16_B_11_Aves_all_observations,B,33.502303,-86.755637,1
"Birmingham, AL",Birmingham,AL,2022,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,3
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,4256
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,1798
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,1285
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,495
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,2
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,20
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,19
"Birmingham, AL",Birmingham,AL,2014,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,14
"Birmingham, AL",Birmingham,AL,2013,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,1
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,89
"Birmingham, AL",Birmingham,AL,2010,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,12
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,68
"Birmingham, AL",Birmingham,AL,2008,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,82
"Birmingham, AL",Birmingham,AL,2007,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,16
"Birmingham, AL",Birmingham,AL,2005,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,27
"Birmingham, AL",Birmingham,AL,2003,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,12
"Birmingham, AL",Birmingham,AL,2002,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,32
"Birmingham, AL",Birmingham,AL,2001,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,86
"Birmingham, AL",Birmingham,AL,2000,AL_Birmingham_B2_B_12,AL_Birmingham_B2_B_12_Aves_all_observations,B,33.513393,-86.763271,128
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B3_B_13,AL_Birmingham_B3_B_13_Aves_all_observations,B,33.49107,-86.79117,141
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_B3_B_13,AL_Birmingham_B3_B_13_Aves_all_observations,B,33.49107,-86.79117,2
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B4_B_14,AL_Birmingham_B4_B_14_Aves_all_observations,B,33.451763,-86.8132,25
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_B4_B_14,AL_Birmingham_B4_B_14_Aves_all_observations,B,33.451763,-86.8132,1
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_B4_B_14,AL_Birmingham_B4_B_14_Aves_all_observations,B,33.451763,-86.8132,1
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_B4_B_14,AL_Birmingham_B4_B_14_Aves_all_observations,B,33.451763,-86.8132,47
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_B4_B_14,AL_Birmingham_B4_B_14_Aves_all_observations,B,33.451763,-86.8132,18
"Birmingham, AL",Birmingham,AL,2022,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,1
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,392
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,74
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,41
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,23
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,2
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,1
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,1
"Birmingham, AL",Birmingham,AL,2007,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,17
"Birmingham, AL",Birmingham,AL,2006,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,18
"Birmingham, AL",Birmingham,AL,2005,AL_Birmingham_B5_B_15,AL_Birmingham_B5_B_15_Aves_all_observations,B,33.50612,-86.780813,20
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_B7_B_17,AL_Birmingham_B7_B_17_Aves_all_observations,B,33.500088,-86.83866,12
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_B9_B_19,AL_Birmingham_B9_B_19_Aves_all_observations,B,33.557,-86.716415,11
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_B9_B_19,AL_Birmingham_B9_B_19_Aves_all_observations,B,33.557,-86.716415,1
"Birmingham, AL",Birmingham,AL,2014,AL_Birmingham_B9_B_19,AL_Birmingham_B9_B_19_Aves_all_observations,B,33.557,-86.716415,17
"Birmingham, AL",Birmingham,AL,2013,AL_Birmingham_B9_B_19,AL_Birmingham_B9_B_19_Aves_all_observations,B,33.557,-86.716415,68
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_B9_B_19,AL_Birmingham_B9_B_19_Aves_all_observations,B,33.557,-86.716415,95
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_C1_C_22,AL_Birmingham_C1_C_22_Aves_all_observations,C,33.537422,-86.79364,2
"Birmingham, AL",Birmingham,AL,2022,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,2
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,753
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,515
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,277
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,150
"Birmingham, AL",Birmingham,AL,1997,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,3
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,177
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,433
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,541
"Birmingham, AL",Birmingham,AL,2014,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,86
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_C10_C_23,AL_Birmingham_C10_C_23_Aves_all_observations,C,33.521787,-86.77205,49
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,124
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,101
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,219
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,18
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,6
"Birmingham, AL",Birmingham,AL,2016,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,11
"Birmingham, AL",Birmingham,AL,2014,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,17
"Birmingham, AL",Birmingham,AL,1961,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,2
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,18
"Birmingham, AL",Birmingham,AL,2007,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,38
"Birmingham, AL",Birmingham,AL,2009,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,40
"Birmingham, AL",Birmingham,AL,2008,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,9
"Birmingham, AL",Birmingham,AL,2005,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,18
"Birmingham, AL",Birmingham,AL,2006,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,38
"Birmingham, AL",Birmingham,AL,2003,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,36
"Birmingham, AL",Birmingham,AL,2002,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,33
"Birmingham, AL",Birmingham,AL,2000,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,3
"Birmingham, AL",Birmingham,AL,2001,AL_Birmingham_C11_C_24,AL_Birmingham_C11_C_24_Aves_all_observations,C,33.495377,-86.79927,4
"Birmingham, AL",Birmingham,AL,2022,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,444
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,7822
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,6615
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,7220
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,662
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,20
"Birmingham, AL",Birmingham,AL,2003,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,1
"Birmingham, AL",Birmingham,AL,2002,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,1
"Birmingham, AL",Birmingham,AL,1994,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,1
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,3
"Birmingham, AL",Birmingham,AL,2014,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,14
"Birmingham, AL",Birmingham,AL,2012,AL_Birmingham_C12_C_25,AL_Birmingham_C12_C_25_Aves_all_observations,C,33.460329,-86.802589,1
"Birmingham, AL",Birmingham,AL,2021,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,175
"Birmingham, AL",Birmingham,AL,2020,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,53
"Birmingham, AL",Birmingham,AL,2015,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,5
"Birmingham, AL",Birmingham,AL,2019,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,189
"Birmingham, AL",Birmingham,AL,2018,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,3
"Birmingham, AL",Birmingham,AL,1940,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,2
"Birmingham, AL",Birmingham,AL,2017,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,20
"Birmingham, AL",Birmingham,AL,1936,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,1
"Birmingham, AL",Birmingham,AL,1937,AL_Birmingham_C13_C_26,AL_Birmingham_C13_C_26_Aves_all_observations,C,33.476307,-86.79809,1
